STAID,NITR_APP_KG_SQKM,PHOS_APP_KG_SQKM
04087257,4801.153,1028.15
04093000,3907.832,679.6143
04094000,3453.917,637.783
04094500,3162.665,572.5208
04095300,3391.154,624.9778
04096015,3765.949,724.7346
04096100,3783.544,705.4691
04096400,4007.527,802.8447
04096405,3997.08,801.0134
04096515,4665.936,927.0645
04096600,4761.452,1007.29
04097500,4771.934,987.7731
04097540,5354.742,1102.085
04099000,5090.584,1040.018
04099510,3433.643,648.034
04099750,5731.142,1162.002
04099808,8921.864,1848.685
04099850,7869.167,1596.623
04100222,5854.792,1181.373
04100252,5095.112,1012.834
04100295,6089.357,1210.479
04100500,6571.253,1365.313
04101000,5673.027,1172.972
04101370,5199.145,1050.267
04101500,5625.015,1159.546
04101800,4534.772,1102.577
04102500,3556.76,699.0652
04102700,3219.221,633.7538
04103010,3628.094,723.3631
04103500,3617.031,726.1978
04105000,3807.842,750.7278
04105500,3586.601,716.0359
04106000,3434.459,689.2488
04106320,2767.926,585.3178
04106400,3034.764,630.2419
04108500,3708.636,772.1715
04108600,6459.167,1464.359
04108670,4102.737,875.0697
04108800,9055.819,2134.602
04108801,9029.093,2129.704
04109000,2301.757,446.7404
04111000,3038.749,585.8537
04111379,3220.708,601.8451
04111500,5552.218,1032.619
04112500,4233.273,784.6922
04113000,3597.29,678.2715
04114000,3755.584,708.6182
04114498,4287.746,793.2736
04114500,4297.899,795.2699
04115000,6183.855,1157.273
04116000,4796.104,901.4626
04116500,4144.138,780.3291
04117500,4229.339,821.6225
04118000,4079.198,791.2208
04118500,3220.801,608.0068
04119000,4442.391,838.4536
04121900,1699.776,342.6828
04121944,2694.208,521.0349
04122100,1190.395,216.3935
04126740,581.7867,119.587
04143500,3284.369,598.6288
04144000,1787.244,330.9171
04145000,2802.378,514.071
04146000,2505.787,476.006
04146063,2413.259,457.3361
04147500,3130.786,591.5206
04148140,1721.107,316.0262
04148500,2534.243,471.4032
04149000,2565.09,474.3933
04150000,6041.273,1113.879
04150800,5520.397,1019.834
04151000,5372.808,991.7675
04151500,5355.747,987.0334
04152238,1902.97,398.2938
04154000,2927.28,560.532
04154500,3194.992,608.465
04155000,4871.559,922.1336
04155500,5185.236,980.4835
04156000,2588.279,498.4254
04157000,3514.452,655.5715
04159492,5886.28,1084.587
04159900,3427.416,645.4777
04160600,3189.212,602.8986
04160800,1023.106,164.2747
04160900,1187.144,185.9035
04161000,1215.999,184.3837
04161100,1279.001,197.0119
04161500,1146.192,192.2927
04161540,1243.892,202.941
04161800,1046.355,183.4415
04161820,1218.936,193.4491
04162900,1975.774,277.1858
04163400,2190.126,316.7052
04164000,1476.885,223.6564
04164100,1641.285,292.3267
04164300,3082.188,571.0063
04164500,2427.2,441.3166
04165500,1855.825,303.6844
04166000,2112.659,297.2596
04166100,2217.293,312.0896
04166300,1736.161,256.2866
04166500,2186.604,309.1006
04167000,2483.433,406.8454
04168000,2753.968,475.7421
04169500,930.2164,152.8767
04170000,1085.535,177.9259
04170500,1060.935,174.5231
04172000,1326.817,232.0189
04172500,2445.603,459.7363
04173000,1700.444,309.657
04173500,3889.678,745.2768
04174500,2298.398,427.0131
04174518,2540.127,411.5362
04175600,3098.877,595.6331
04176000,4318.866,807.2109
04176500,5167.057,968.5925
04176605,5477.447,1014.637
04177000,5356.537,1061.347
04177720,3210.964,608.1896
04178000,4337.477,855.6309
04179000,4371.76,859.7801
04179500,4136.197,794.1537
04179520,4122.131,790.6044
04180000,4512.144,875.994
04180500,4378.569,857.2057
04180988,10361.39,2466.487
04181500,10352.29,2468.929
04182000,9877.743,2324.422
04182950,6430.928,1405.046
04183000,6478.716,1422.031
04183500,6315.707,1367.952
04184500,5025.45,954.4247
04186500,7713.746,1571.994
04187500,5804.781,1184.305
04188337,6195.047,1251.92
04188400,6364.538,1271.249
04188433,6657.688,1298.817
04188496,6290.03,1242.024
04189000,6150.406,1222.502
04191500,6549.623,1316.525
04192500,6225.181,1287.172
04193500,6399.813,1314.714
04195500,6352.517,1208.536
04195820,6319.934,1202.517
04196000,6829.244,1387.138
04196500,7431.215,1501.096
04197000,7066.429,1420.711
04198000,6892.607,1380.503
04199000,5422.437,1062.784
04199500,4870.819,957.1299
05030500,2453.355,491.4621
05040500,2713.891,546.933
05046000,2659.144,533.2211
05049000,5612.292,1094.922
05050000,5073.955,1022.7
05051300,5126.291,1008.575
05051500,4127.762,806.8489
05051522,4463.265,861.0442
05051600,4776.304,866.1578
05051700,4852.622,874.9828
05052500,7434.728,1072.162
05053000,5924.268,941.8329
05054000,5082.249,905.1207
05055300,3455.343,544.4965
05055400,3524.44,553.7047
05058000,3829.516,586.7546
05058500,3924.531,600.0184
05058700,4062.015,619.3188
05059000,4196.712,641.2557
05059500,4213.59,641.8798
05059700,5887.673,845.5613
05059715,5919.175,848.4738
05060100,6345.033,902.874
05060500,7264.433,1011.004
05063398,4861.259,967.9103
05064000,3722.118,711.9139
05066500,6222.718,866.0579
05069000,5259.377,970.6672
05076000,2001.738,378.3385
05078000,1823.067,388.1243
05078230,3167.722,651.1508
05078500,3004.829,591.8468
05080000,1931.342,372.9888
05082625,6194.775,871.5157
05083000,6488.812,915.5838
05083600,6984.52,968.1657
05084000,6179.48,862.8256
05085000,6672.174,929.0579
05085450,4314.727,794.1104
05089000,6715.649,925.3926
05090000,6795.103,938.9095
05094000,3156.139,598.9095
05098800,5575.792,762.915
05099400,5740.254,783.9567
05100500,5263.586,721.2222
05101000,5761.487,792.0023
05116500,3716.637,549.8146
05120200,2940.768,492.4104
05123700,4634.601,713.0394
05245100,3225.81,649.8273
05247500,2408.549,494.1993
05270500,6330.267,1314.146
05275000,5088.142,1033.727
05278000,4971.306,1071.16
05279000,8020.348,1648.968
05280000,6802.567,1401.695
05286000,2067.172,413.4904
05287890,3721.194,714.827
05288580,1783.34,354.0652
05288705,1782.325,416.4815
05289800,2335.127,483.2617
05292000,3336.988,844.8458
05294000,5457.357,1096.583
05304500,6152.981,1199.222
05311000,5236.405,1091.336
05313500,6598.346,1411.325
05314510,9207.473,1994.551
05315000,6046.665,1341.759
05316500,7377.686,1632.256
0531656290,10464.08,2207.157
05316580,6048.325,1269.942
05317000,8751.409,1918.85
05319500,9224.519,2052.768
05320000,9988.579,2167.253
05320270,9445.648,2131.326
05320500,9132.851,2019.434
05325000,7392.456,1586.907
05327000,8337.021,1696.752
05330000,7461.602,1599.97
05330920,7330.226,1570.125
05338500,1467.397,315.8802
05340050,2071.293,408.806
05341500,2612.58,558.458
05342000,4433.485,972.2679
05345000,5636.601,1139.851
05353800,8712.311,1807.127
05355200,7800.853,1674.66
05368000,4045.224,864.8143
05369000,3099.017,657.2666
05370000,4312.41,943.3571
05372995,7384.226,1487.191
05373000,7364.513,1483.308
05374000,8212.06,1674.687
05376500,8226.901,1657.174
05379400,4524.164,1022.37
05379500,4519.187,1021.519
05381000,4095.284,827.7986
053813595,2726.3,553.8146
05382000,2607.76,538.7687
05382255,659.6642,152.272
05382257,600.4124,138.2219
05382267,725.8264,154.8929
05382325,1860.87,391.7043
05383000,2865.215,622.8298
05383075,2955.634,648.2419
05385000,7763.889,1631.713
05388250,8443.226,1642.756
05388500,6682.239,1383.074
05397500,2367.862,499.9981
05402000,4013.579,819.825
05403500,2165.166,458.1434
05404000,2024.468,428.9339
05404116,3863.616,812.9841
05405000,4510.345,1028.375
05406500,5155.112,1135.138
05407000,2535.392,553.3911
05410490,3140.249,672.3863
05411600,8999.665,1658.915
05412020,9173.266,1741.875
05414820,8147.443,1923.803
05416900,11936.61,2462.68
05417000,12181.01,2526.176
05418400,12333.27,2613.528
05418500,11463.3,2385.168
05419000,6726.435,1496.995
05420000,9417.938,2023.468
05421000,9604.007,1814.808
05421740,9526.149,1813.49
05422000,9662.731,1822.251
05422560,11985.33,2153.247
05422600,8336.117,1535.057
05424000,5749.977,1261.369
05425500,5211.088,1155.755
05425912,5819.031,1298.955
05426000,6307.667,1428.212
05426067,3218.897,678.8322
05426250,2921.974,642.1401
05427085,5582.069,1262.669
05427570,5628.894,1279.654
05427850,6803.263,1516.317
05427948,6813.768,1484.138
05429500,5577.851,1204.637
05430150,6982.866,1549.346
05430175,5893.354,1282.846
05430500,5701.918,1287.281
054310157,4759.513,1069.438
05431016,5520.805,1256.619
05431017,5417.151,1233.569
05431032,5018.553,1140.755
05431486,5602.5,1274.836
05432500,7011.029,1608.185
05433000,6191.239,1403.269
05434500,6966.263,1585.454
05435500,7519.168,1684.005
05435935,5847.044,1246.827
05435943,6136.416,1318.888
05436500,6914.743,1533.13
05437050,7621.107,1680.282
05437500,6534.466,1458.199
05438250,9455.316,1951.219
05438283,5710.331,1306.319
05438500,7757.224,1577.976
05439000,10620.06,2328.922
05439500,9991.602,2157.51
05440000,8395.977,1751.272
05440500,10199.44,2166.102
05440700,6842.157,1501.177
05443500,7005.474,1526.854
05446500,7307.35,1586.401
05447500,9461.109,1993.073
05448000,7267.072,1562.758
05449000,9708.844,1761.23
05449500,9754.9,1834.581
05451080,11418.8,2653.862
05451500,9955.214,2042.557
05451700,8614.449,1580.242
05451900,8764.688,1569.751
05452000,9149.191,1602.956
05452200,7643.853,1467.803
05453000,7553.958,1487.835
05453100,9113.39,1790.632
05453520,8808.47,1730.68
05454090,5712.194,1179.092
05454220,8449.23,1694.73
05454300,7827.427,1579.26
05454500,8730.655,1717.473
05455000,5203.081,1086.828
05455010,5055.545,1070.447
05455100,8234.979,1655.737
05455500,8167.258,1676.95
05455700,8622.65,1719.865
05457000,8874.679,1854.448
05457700,9358.627,1933.504
05458300,9320.983,1911.547
05458500,9307.227,1892.878
05458900,9718.215,1790.685
05459000,8461.739,1720.879
05459500,8733.511,1495.394
05462000,8972.272,1608.898
05463000,10349.98,1984.785
05463500,10493.74,1946.829
05464000,9332.188,1770.5
05464500,9217.647,1733.908
05464942,7882.139,1573.205
05465000,9070.538,1700.607
05465500,8897.408,1710.36
05466000,9300.854,2109.565
05468500,6864.414,1464.278
05469000,8108.811,1742.733
05470000,10630.81,2321.46
05470500,9360.065,1825.363
05471000,9951.684,2069.478
05471050,9360.233,1861.212
05471200,10133.05,1747.284
05471500,9145.287,1768.25
05472500,8174.7,1639.036
05473400,6408.512,1277.375
05474000,8265.722,1651.25
05476000,7737.571,1674.979
05476500,7796.538,1675.43
05476750,8321.419,1712.313
05478000,10389.53,2183.494
05479000,10196.93,1941.372
05480000,9121.068,1593.294
05480500,9024.121,1763.417
05481000,10404.61,2085.902
05481300,9221.99,1804.6
05481650,9041.34,1759.942
05481950,8320.438,1467.738
05482000,8960.592,1734.994
05482170,9317.977,1628.083
05482300,10247.2,2097.453
05482500,10290.88,2042.591
05483000,9808.393,1795.024
05483450,10714.92,2325.139
05483600,10106.85,2182.723
05484000,8376.569,1753.836
05484500,9298.589,1832.351
05484650,9202.623,1811.033
05484800,5915.871,1058.558
05484900,9105.277,1789.668
05485500,9005.214,1753.453
05485605,6997.315,1152.27
05485640,6494.038,1079.7
05486000,5508.168,1111.962
05486490,5325.054,1075.036
05487470,4157.317,953.6893
05487500,8393.874,1642.068
05488110,8207.177,1608.071
05488500,8177.321,1602.636
05489500,7992.249,1572.863
05490500,7815.211,1542.211
05496000,4713.29,1021.348
05497000,4689.896,1040.204
05497150,4750.803,1047.775
05502300,3308.324,780.8918
05502500,3658.202,843.0988
05504800,6027.86,1228.804
05505000,6192.205,1259.927
05506350,3458.74,796.5884
05506500,3521.294,809.0987
05506800,4567.002,1025.488
05507800,4909.118,1069.194
05508000,4896.006,1064.437
05514712,3615.784,790.4893
05515000,5911.439,1103.078
05515500,6466.465,1201.818
05516500,7026.897,1384.505
05517000,6619.325,1275.984
05517500,6472.546,1210.575
05517530,6454,1208.205
05518000,6478.85,1216.468
05519500,5120.18,934.5173
05520500,6430.402,1207.91
05521000,8062.308,1617.116
05522000,7672.728,1538.103
05522500,7903.588,1584.542
05523500,8143.782,1640.638
05524000,8404.029,1613.854
05524500,7992.003,1585.678
05525000,8052.205,1560.854
05526000,8880.012,1734.946
05527500,7644.991,1474.006
05527800,4523.644,1000.706
05527900,4094.797,858.048
05527905,3340.902,600.5328
05527910,3974.16,806.8367
05527950,3849.546,749.2801
05528000,4124.007,856.4765
05528500,3384.056,561.0064
05529000,3841.748,754.7855
05529500,5185.075,801.0012
05530000,3134.916,484.4008
05530990,4570.564,714.4872
05531000,4423.111,691.2185
05531300,3272.611,509.4995
05531500,3225.639,501.4581
05532000,1914.038,295.6845
05532500,3405.323,620.1097
05533000,4379.393,676.5703
05533400,2914.205,452.5545
05534500,2856.521,478.3174
05535000,2920.549,487.3667
05535070,3156.314,510.0529
05535500,3468.551,548.2723
05536000,3521.813,558.4005
05536105,3276.822,518.8273
05536118,2456.095,387.4178
05536195,3184.774,561.5464
05536215,3121.714,529.3412
05536235,4440.306,813.3271
05536255,4322.469,715.9636
05536270,3545.806,623.8076
05536275,3678.837,636.2992
05536290,3347.924,581.8474
05536340,4007.643,645.156
05536500,2950.359,469.3117
05536995,2428.071,397.8283
05537500,4465.116,782.9861
05537980,3009.052,526.8489
05539000,4398.083,825.1118
05539900,3256.21,549.8386
05540060,3400.218,631.9443
05540091,3248.38,514.7633
05540095,3133.891,532.2861
05540130,3130.304,527.3759
05540160,2821.646,436.1816
05540195,2974.623,459.5257
05540250,2783.716,435.3403
05540275,3803.751,684.9847
05540500,3983.47,716.7569
05541710,8752.501,1755.817
05542000,8226.694,1664.064
05543500,6509.607,1249.327
05543830,2253.567,451.0493
05544200,2874.736,635.5846
05545750,3512.573,771.1901
05548280,6681.904,1376.34
05549000,5726.108,1147.223
05550000,4175.59,869.8218
05550300,8432.255,1679.776
05550500,3309.867,564.9703
05551200,8083.014,1575.402
05551330,8427.412,1657.72
05551540,4457.805,910.3703
05551675,8602.846,1712.993
05551700,8593.354,1713.411
05552500,5858.049,1200.291
05554500,9060.524,1867.434
05555300,8739.637,1797.3
05558300,6759.989,1331.468
05559500,10124.44,2080.901
05560500,7556.921,1602.591
05561000,6147.781,1300.053
05561500,5042.212,1045.429
05562000,5954.786,1247.869
05563500,5546.886,1133.093
05564400,9731.962,1962.521
05566500,9472.568,1971.662
05567500,9407.328,1938.787
05568000,9196.455,1910.501
05568500,6915.458,1373.195
05568800,9046.656,1941.607
05569500,7998.727,1732.25
05570000,7598.921,1637.584
05570360,5902.713,1253.218
05570370,5418.478,1146.452
05570910,9389.06,1870.484
05571000,9110.663,1800.057
05572000,8764.82,1725.96
05573540,8441.366,1654.056
05574000,9049.247,1828.253
05574500,8662.141,1742.115
05576000,8664.05,1742.807
05576500,8662.827,1722.831
05577500,9014.916,1826.228
05578500,8165.228,1622.592
05579500,9800.988,1963.272
05579725,8605.112,1720.583
05580000,8949.319,1788.85
05580500,9143.66,1839.225
05580950,5273.936,1020.543
05581500,9067.671,1853.172
05582000,9155.39,1854.357
05582500,10605.55,2130.256
05583000,8823.128,1772.22
05584400,8269.616,1727.15
05586800,7032.947,1510.836
05587000,7674.931,1655.328
05590800,8661.457,1693.422
05590950,8618.529,1683.355
05591200,8522.546,1667.898
05591500,8712.328,1728.011
05591700,8538.397,1679.806
05592000,8044.494,1589.721
05592100,7865.749,1571.157
05592500,7421.069,1497.179
06466400,8654.621,1509.846
06470000,3913.828,609.8486
06470500,4004.27,625.9598
06470878,4156.227,648.1822
06471000,4106.37,660.6384
06471500,3543.565,678.7231
06471800,2610.794,746.948
06472000,3734.657,687.9993
06473000,3638.227,692.752
06473750,2155.547,547.1879
06474500,2321.063,651.22
06475000,3294.384,692.9384
06476000,3225.2,705.7571
06477000,3199.329,720.174
06478600,3492.922,988.011
06478690,3834.016,1090.202
06479000,4358.472,1222.076
06479010,4069.813,1139.051
06479525,2934.031,798.4559
06479770,3163.017,860.4888
06480000,3284.838,907.1868
06481000,3524.741,968.4699
06481480,4375.872,1244.619
06481500,4444.353,1249.045
06482000,4415.035,1240.544
06482020,3667.537,1012.064
06482610,6283.447,1598.308
06483290,8609.529,1968.897
06483500,9972.891,2252.296
06484000,15761.3,3864.917
06485500,5920.06,1482.314
06600000,8972.094,2016.641
06600100,12682.19,2887.743
06600300,16640.93,4070.369
06600500,13050.99,3030.319
06600900,9631.466,1400.998
06605000,9778.049,1996.446
06605850,8350.833,1643.319
06606600,8810.233,1775.183
06606700,8773.377,1751.03
06607200,9732.44,1944.158
06607500,8876.576,1766.504
06608000,8518.832,1259.319
06608500,8219.044,1530.091
06609500,9404.441,1883.88
06610500,4554.949,839.5907
06610732,8429.758,1308.106
06610750,7959.474,1182.951
06610792,7723.115,1101.833
06610795,7293.359,1076.893
06795500,14261.79,2257.387
06799100,10595.81,1668.685
06799350,7483.952,1274.534
06799445,10043.5,1661.356
06799450,9976.354,1618.009
06799460,10354.54,1713.236
06799500,10416.39,1734.795
06800000,11924.99,2055.764
06800500,8553.231,1457.08
06803000,4693.122,687.7392
06803080,4716.131,689.8999
06803093,4489.092,677.0128
06803170,5799.476,870.431
06803486,5864.434,882.4631
06803495,5156.479,766.049
06803500,5153.646,765.5836
06803513,5089.512,754.4014
06803520,5152.951,744.5598
06803555,5270.44,777.9584
06804000,7046.478,1080.799
06804700,7147.109,1094.647
06804900,7103.511,1088.803
06805000,5841.3,872.2345
06806000,4874.549,819.499
06806500,5471.303,758.109
06807410,9829.313,1895.939
06808500,8612.316,1580.126
06809000,9303.991,1908.512
06809210,8718.268,1786.789
06809500,8182.471,1622.597
06810000,8136.777,1518.693
06811500,5441.744,853.5096
06811840,7276.553,1327.463
06813000,6705.145,1259.422
06814500,4873.305,797.3448
06815000,5527.905,915.5809
06815500,6367.164,973.9156
06816000,5873.532,1107.111
06817000,6557.888,1275.978
06817500,6176.732,1235.574
06817700,6070.012,1228.984
06818750,5505.076,1209.276
06819185,4222.182,897.4329
06819190,4199.303,892.5491
06820410,4694.645,1028.969
06820500,4717.522,1039.758
06821150,3994.257,906.5543
06821190,4550.19,1001.799
06890100,6336.183,1026.443
06890900,5223.908,878.3419
06891260,3254.947,544.532
06891500,3580.321,586.1935
06892360,4120.738,662.9602
06892495,3551.402,573.9888
06892513,3293.108,528.0753
06893080,4430.01,715.0189
06893100,4251.654,689.4895
06893150,4069.032,686.4241
06893300,3117.821,494.7316
06893390,3472.911,552.0756
06893400,3471.114,552.036
06893500,3694.137,616.1237
06893557,2637.792,422.0378
06893560,2382.663,384.8393
06893562,2255.824,368.5415
06893578,3258.693,551.3903
06893620,2156.068,397.617
06893793,2948.848,607.522
06893890,2472.472,494.023
06893910,2723.476,544.2252
06893970,2805.15,534.2535
06894000,2737.434,545.0051
06894200,3659.95,838.7698
06894500,2299.443,541.3239
06896000,4230.265,902.3871
06897000,3373.597,843.5474
06897500,3976.656,1015.678
06898000,4801.63,1057.101
06899500,3958.174,902.392
06900000,3305.508,765.8542
06900050,3134.66,720.8116
06901500,2854.609,707.1769
06902000,3601.307,858.0245
06903700,4330.701,897.699
06903900,4200.139,903.1238
06904010,4103.267,885.5666
06904050,3958.554,859.5142
06904500,3644.604,816.3262
06905500,3413.518,774.7479
06906000,3173.983,748.7736
06906200,2525.3,603.6716
06906300,2431.712,577.502
06907700,4297.422,985.0079
06908000,5419.456,1214.26
06910230,2559.467,603.11
06911000,2846.407,539.4841
06911500,3395.905,569.7652
06912500,3448.186,582.4813
06913000,3035.526,536.9618
06913500,3222.901,565.9926
06914000,5406.998,914.3295
06914100,5398.213,912.1866
06914950,4740.013,766.3605
06915000,4459.094,754.3665
06915800,4086.822,706.3997
06916500,4218.667,765.0576
06916600,4016.408,701.4128
06917060,4276.201,871.1085
06917240,4284.042,764.6892
06917500,3902.145,754.4802
06917560,3959.634,771.9308
06918060,4449.66,953.4794
06918070,4170.95,808.2458
06921590,3995.484,896.5682
06921720,4102.947,935.2177
06922000,4291.243,991.1378
06926000,3699.745,817.4495
06926500,3691.395,826.3083
06926510,3688.713,826.09
07164600,1519.348,225.4133
07165562,1886.722,355.8152
07165565,1888.693,337.8174
07170700,4741.054,830.5177
07176000,2665.15,570.2937
07177800,1792.112,271.6297
07178600,2479.156,540.5992
07185000,4137.87,729.5629
07185090,4373.846,770.0934
07185095,4594.598,830.5079
07190500,4676.151,988.9569
07191000,4356.214,961.9333
07191500,4656.765,1000.258
07193500,4551.002,979.1085
402913084285400,14280.59,3751.2
04095380,3008.241,552.717
03324300,6767.469,1474.031
040871488,2332.579,330.6108
04168580,1972.393,295.3101
05424057,5661.06,1232.445
05061000,3398.099,689.4304
05061500,6111.611,1150.604
05062000,5057.079,972.4334
05300000,5025.17,1080.427
01367800,1991.688,432.4797
01368000,1282.403,277.5901
01369500,1742.499,406.1964
01371500,1508.267,350.1838
01443280,1250.981,270.8382
01443500,1129.953,244.1474
01443900,264.7403,56.73526
01445000,771.3184,166.5199
01445500,1695.033,364.9281
01446000,2819.757,606.4537
01446775,2536.587,622.684
01446776,2537.044,622.7454
01450500,654.0317,163.9183
01451500,4111.978,1034.444
01451650,3987.43,983.2563
01452000,3896.993,994.5054
01452500,4180.049,1012.457
01453000,1414.115,352.0888
01454700,1468.307,362.9279
01467471,210.6086,52.75418
01467492,125.5897,27.70041
01467500,180.4301,42.85634
01467688,48.46756,9.378592
01467752,300.7502,74.8782
01467861,268.2004,76.29877
01468500,537.3808,147.5629
01469500,1345.567,398.7757
01469700,1036.241,304.3669
01470500,1423.74,413.8311
01470756,4767.498,1250.766
01470779,10804.52,3052.846
01470960,7663.654,2100.019
